14:57:33.774257,,0.23,14.70,
14:57:33.777060,900.00,-50.00,14.70,-0.73,-1.00,-0.77,13.70,
14:57:33.779305,0,-50.00,14.70,0.27,0.00,0.23,13.70,
14:57:33.781156,899.00,-51.00,13.70,0.27,-1.00,0.23,14.70,
14:57:33.783265,900.00,-50.00,14.70,-0.73,-1.00,-0.77,13.70,
14:57:33.785593,899.00,-50.00,14.70,0.27,-1.00,-0.77,13.70,
14:57:33.855593,899.00,-51.00,13.70,0.27,-1.00,-0.77,14.70,
14:57:33.959065,899.00,-51.00,14.70,0.27,-1.00,0.23,13.70,
14:57:34.061173,900.00,-51.00,13.70,-0.73,0.00,-0.77,14.70,
14:57:34.167210,899.00,-51.00,14.70,0.27,-1.00,0.23,14.70,
14:57:34.270591,899.00,-51.00,14.70,0.27,-1.00,-0.77,13.70,
14:57:34.372783,900.00,-50.00,14.70,0.27,0.00,0.23,14.70,
14:57:34.478704,900.00,-50.00,14.70,-0.73,0.00,-0.77,13.70,
14:57:34.580919,899.00,-51.00,13.70,-0.73,0.00,-0.77,13.70,
14:57:34.684251,899.00,-51.00,13.70,0.27,0.00,0.23,14.70,
14:57:34.790394,900.00,-51.00,13.70,0.27,0.00,0.23,14.70,
14:57:34.892379,899.00,-51.00,13.70,-0.73,-1.00,0.23,13.70,
14:57:34.995755,900.00,-51.00,13.70,0.27,0.00,0.23,13.70,
14:57:35.100667,899.00,-50.00,14.70,-0.73,-1.00,-0.77,13.70,
14:57:35.204044,899.00,-51.00,14.70,0.27,0.00,-0.77,13.70,
14:57:35.307414,899.00,-51.00,14.70,-0.73,0.00,-0.77,14.70,
14:57:35.412272,900.00,-50.00,14.70,0.27,0.00,-0.77,13.70,
14:57:35.515565,899.00,-51.00,14.70,0.27,-1.00,-0.77,13.70,
14:57:35.617755,899.00,-51.00,14.70,0.27,-1.00,0.23,14.70,
14:57:35.723746,899.00,-50.00,13.70,0.27,-1.00,-0.77,14.70,
14:57:35.827186,899.00,-50.00,13.70,-0.73,-1.00,-0.77,14.70,
14:57:35.929270,899.00,-50.00,14.70,0.27,-1.00,0.23,14.70,
14:57:36.035323,900.00,-51.00,13.70,-0.73,-1.00,-0.77,13.70,
14:57:36.137468,900.00,-51.00,13.70,0.27,-1.00,-0.77,13.70,
14:57:36.240870,899.00,-50.00,13.70,0.27,0.00,-0.77,13.70,
14:57:36.346917,899.00,-50.00,13.70,0.27,-1.00,0.23,14.70,
14:57:36.448970,900.00,-51.00,13.70,-0.73,-1.00,-0.77,14.70,
14:57:36.552470,900.00,-51.00,14.70,0.27,0.00,0.23,14.70,
14:57:36.657238,900.00,-51.00,14.70,-0.73,0.00,0.23,14.70,
